Long_Name,Population,Primary_Category,Address,Zip,School_Latitude,School_Longitude,Attainment_Reading_Pct_ES,Attainment_Math_Pct_ES,School_Survey_Safety,Suspensions_Per_100_Students_Pct,Misconducts_To_Suspensions_Pct,Student_Attendance_Pct,Teacher_Attendance_Pct,Graduation_School_Pct,College_Enrollment_School_Pct,Chronic_Truancy_Pct,SAT_Grade_11_Score_School_Avg
Ronald E McNair Elementary School,389,ES,4820 W WALTON ST,60651,41.897819,-87.746731,25,51,NEUTRAL,6.8,7.8,96,97.3,,,26.7,
Ella Flagg Young Elementary School,724,ES,1434 N PARKSIDE AVE,60651,41.906791,-87.767143,39,26,VERY WEAK,0.8,31.8,93.7,94.9,,,22.3,
Leslie Lewis Elementary School,462,ES,1431 N LEAMINGTON AVE,60651,41.906826,-87.75455,27,21,NEUTRAL,4,50,95.8,96.5,,,26,
John Hay Elementary Community Academy,360,ES,1018 N LARAMIE AVE,60651,41.899171,-87.755813,25,19,VERY WEAK,6.9,21.6,93.9,94.7,,,22.7,
Brian Piccolo Elementary Specialty School,585,ES,1040 N KEELER AVE,60651,41.90014,-87.731261,32,52,STRONG,0.8,45.5,96,95.9,,,24.9,
Myra Bradwell Communications Arts & Sciences ES,494,ES,7736 S BURNHAM AVE,60649,41.754365,-87.557142,9,9,WEAK,58.3,49.8,92,94.4,,,40.8,
Adam Clayton Powell Paideia Community Academy ES,529,ES,7511 S SOUTH SHORE DR,60649,41.760332,-87.556789,29,22,WEAK,7.1,33.6,94.5,95.2,,,36.1,
Isabelle C O'Keeffe Elementary School,614,ES,6940 S MERRILL AVE,60649,41.768602,-87.572806,25,21,STRONG,6.4,12.2,93.9,95.6,,,38.7,
Parkside Elementary Community Academy,273,ES,6938 S EAST END AVE,60649,41.768555,-87.582954,73,79,NEUTRAL,0,0,95.1,97.2,,,39.7,
Edward A Bouchet Math & Science Academy ES,616,ES,7355 S JEFFERY BLVD,60649,41.760847,-87.576075,79,70,NEUTRAL,19.9,45.5,93.4,95.8,,,31.4,
Frederick Funston Elementary School,464,ES,2010 N CENTRAL PARK AVE,60647,41.917617,-87.716892,45,36,WEAK,3.7,4.2,95,94.7,,,30.5,
Lorenz Brentano Math & Science Academy ES,565,ES,2723 N FAIRFIELD AVE,60647,41.930966,-87.696294,65,64,WEAK,3,37.8,94.7,96.9,,,17.8,
Harriet Beecher Stowe Elementary School,635,ES,3444 W WABANSIA AVE,60647,41.911938,-87.713318,43,32,VERY WEAK,6.2,42.2,94.8,95.1,,,22.7,
Bernhard Moos Elementary School,434,ES,1711 N CALIFORNIA AVE,60647,41.912505,-87.696941,61,68,NEUTRAL,0.4,15.4,94.4,94.6,,,25.4,
Salmon P Chase Elementary School,407,ES,2021 N POINT ST,60647,41.917993,-87.694562,68,76,VERY STRONG,0,0,95.6,96,,,20.8,
Pulaski International School of Chicago,898,ES,2230 W MCLEAN AVE,60647,41.918486,-87.683801,89,86,STRONG,1.5,12.8,95.9,95.4,,,2.1,
Richard Yates Elementary School,375,ES,1839 N RICHMOND ST,60647,41.915039,-87.70028,14,13,WEAK,3.2,12.5,94.3,95.1,,,30.1,
Charles R Darwin Elementary School,537,ES,3116 W BELDEN AVE,60647,41.923323,-87.705413,61,46,NEUTRAL,1.9,47.6,96.2,95.8,,,10.6,
James Monroe Elementary School,765,ES,3651 W SCHUBERT AVE,60647,41.929989,-87.719224,51,36,WEAK,2.6,11.9,96,94.7,,,3.9,
Sharon Christa McAuliffe Elementary School,680,ES,1841 N SPRINGFIELD AVE,60647,41.914816,-87.723931,49,29,WEAK,3.8,10.2,94.8,96,,,25.4,
Johann W von Goethe Elementary School,749,ES,2236 N ROCKWELL ST,60647,41.922831,-87.6929,83,80,NEUTRAL,0,0,95.7,96.6,,,12.9,
Wolfgang A Mozart Elementary School,566,ES,2200 N HAMLIN AVE,60647,41.92091,-87.721888,49,33,WEAK,4.7,36.3,95.4,95.5,,,21.1,
Edgebrook Elementary School,509,ES,6525 N HIAWATHA AVE,60646,41.999437,-87.76184,98,96,STRONG,0,0,95.9,96.1,,,1,
Rufus M Hitch Elementary School,571,ES,5625 N MCVICKER AVE,60646,41.983672,-87.779123,84,80,NEUTRAL,0.7,6.7,95.4,95.7,,,12.2,
Sauganash Elementary School,627,ES,6040 N KILPATRICK AVE,60646,41.991169,-87.745951,98,99,VERY STRONG,0,0,95.7,95.6,,,0.3,
George Armstrong International Studies ES,1360,ES,2110 W GREENLEAF AVE,60645,42.01015,-87.684442,80,88,NEUTRAL,1.4,24.4,95.7,94.9,,,22.7,
West Ridge Elementary School,808,ES,6700 N WHIPPLE ST,60645,42.002959,-87.705917,82,89,WEAK,0.8,11.5,94.5,95.2,,,2.2,
Daniel Boone Elementary School,782,ES,6710 N WASHTENAW AVE,60645,42.003412,-87.697463,71,67,NEUTRAL,0,0,95.8,95.2,,,11.6,
Philip Rogers Elementary School,746,ES,7345 N WASHTENAW AVE,60645,42.015265,-87.697185,89,86,NEUTRAL,0.4,37.5,95.1,94.4,,,15.1,
George Rogers Clark Elementary School,219,ES,1045 S MONITOR AVE,60644,41.867813,-87.770418,69,64,STRONG,10.8,16.2,95.7,95.1,,,23.2,
George Leland Elementary School,386,ES,512 S LAVERGNE AVE,60644,41.873587,-87.749276,11,8,VERY WEAK,13.8,44.3,91.5,94,,,65.7,
Julia Ward Howe Elementary School of Excellence,427,ES,720 N LOREL AVE,60644,41.893612,-87.759398,13,18,VERY WEAK,5.2,30.1,95.7,95,,,29.4,
Spencer Technology Academy,494,ES,214 N LAVERGNE AVE,60644,41.884876,-87.750445,20,28,NEUTRAL,25.5,19.9,93.4,94.9,,,23.9,
Oscar DePriest Elementary School,558,ES,139 S PARKSIDE AVE,60644,41.877979,-87.766298,19,13,NEUTRAL,0.7,4.9,95,92.7,,,38.2,
Henry H Nash Elementary School,242,ES,4837 W ERIE ST,60644,41.89181,-87.747936,39,44,STRONG,3.8,26.7,95.2,94.6,,,45.2,
Frederick A Douglass Academy High School,62,HS,543 N WALLER AVE,60644,41.890369,-87.767668,,,WEAK,39.7,8.2,79.4,94.3,52.8,33.9,94.3,785
Edward K Ellington Elementary School,483,ES,243 N PARKSIDE AVE,60644,41.88553,-87.766589,41,28,VERY STRONG,1.5,100,96.4,95.1,,,34,
Charles H Wacker Elementary School,265,ES,9746 S MORGAN ST,60643,41.716193,-87.648044,63,62,STRONG,3.5,41.7,96.2,93.6,,,30.8,
John D Shoop Math-Science Technical Academy ES,434,ES,11140 S BISHOP ST,60643,41.690919,-87.658669,35,61,STRONG,1.1,4.2,95,95.2,,,25.6,
John Whistler Elementary School,359,ES,11533 S ADA ST,60643,41.683907,-87.655384,89,72,NEUTRAL,1.9,54.5,94.3,94.8,,,22.4,
Wendell E Green Elementary School,337,ES,1150 W 96TH ST,60643,41.719292,-87.6525,58,50,NEUTRAL,1.9,31.8,96,94,,,30.9,
Marcus Moziah Garvey Elementary School,286,ES,10309 S MORGAN ST,60643,41.706603,-87.647577,41,15,NEUTRAL,0.4,2,93.4,94.1,,,45.8,
Johnnie Colemon Elementary Academy,249,ES,1441 W 119TH ST,60643,41.677505,-87.658111,82,72,STRONG,3.5,8.6,95.6,94.2,,,20.5,
Henry R Clissold Elementary School,511,ES,2350 W 110TH PL,60643,41.693026,-87.680897,74,58,WEAK,1.8,12.7,94.5,95.8,,,33.3,
Edward White Elementary Career Academy,158,ES,1136 W 122ND ST,60643,41.672309,-87.650539,19,24,VERY WEAK,0,0,94.1,95,,,41,
Morgan Park High School,1237,HS,1744 W PRYOR AVE,60643,41.692035,-87.665658,93,87,VERY WEAK,13.8,38.1,86.1,94.8,71.6,69.6,79.3,903
Thomas J Higgins Elementary Community Academy,269,ES,11710 S MORGAN ST,60643,41.681031,-87.646994,41,31,NEUTRAL,8,16.4,94.3,93.9,,,34.9,
Percy L Julian High School,456,HS,10330 S ELIZABETH ST,60643,41.705859,-87.653749,,,WEAK,29.6,18.7,81.6,90.1,71.8,49,101.5,792
Mount Vernon Elementary School,246,ES,10540 S MORGAN ST,60643,41.701952,-87.647652,22,25,WEAK,5.5,11.2,93,95.4,,,45.1,
Kate S Kellogg Elementary School,269,ES,9241 S LEAVITT ST,60643,41.725263,-87.677233,81,67,STRONG,0,0,96.2,94.7,,,14.4,
Esmond Elementary School,256,ES,1865 W MONTVALE AVE,60643,41.68942,-87.669159,71,46,WEAK,7,66.7,93.6,94,,,29,
Elizabeth H Sutherland Elementary School,604,ES,10015 S LEAVITT ST,60643,41.711445,-87.676821,89,73,NEUTRAL,3.5,16.8,95.9,94.4,,,0.9,
Alice L Barnard Computer Math & Science Ctr ES,264,ES,10354 S CHARLES ST,60643,41.705131,-87.658074,51,32,WEAK,1.9,13.3,95.5,94.2,,,15.8,
James Otis Elementary School,405,ES,525 N ARMOUR ST,60642,41.891806,-87.665426,48,30,WEAK,0.6,3.3,93.6,94.5,,,30.7,
Ogden International High School,597,HS,1250 W ERIE ST,60642,41.893548,-87.659405,,,WEAK,0.4,3.4,93.8,,84.5,78.8,23.1,983
Rodolfo Lozano Bilingual & International Ctr ES,186,ES,1501 N GREENVIEW AVE,60642,41.908886,-87.665093,57,56,STRONG,0.4,4.2,94.8,95.1,,,33,
Jonathan Y Scammon Elementary School,710,ES,4201 W HENDERSON ST,60641,41.941678,-87.732179,69,79,NEUTRAL,1,36.4,94.4,95.4,,,9.6,
Edwin G. Foreman College and Career Academy,759,HS,3235 N LECLAIRE AVE,60641,41.939797,-87.754167,,,WEAK,33.8,17.2,85,92.6,59.9,43.7,79.4,867
Hiram H Belding Elementary School,583,ES,4257 N TRIPP AVE,60641,41.958938,-87.73402,82,78,NEUTRAL,0.2,5,94.8,94.9,,,16.7,
John Barry Elementary School,614,ES,2828 N KILBOURN AVE,60641,41.932511,-87.739388,48,41,WEAK,0.1,12.5,94.9,94.5,,,18,
Carl Schurz High School,1615,HS,3601 N MILWAUKEE AVE,60641,41.946365,-87.735612,,,WEAK,7.3,22.6,82.3,95.1,66.6,47.1,59.6,892
William P Gray Elementary School,1170,ES,3730 N LARAMIE AVE,60641,41.948764,-87.757116,67,72,STRONG,2.1,16.9,95,95,,,19.5,
Laughlin Falconer Elementary School,1107,ES,3020 N LAMON AVE,60641,41.935785,-87.749331,44,51,NEUTRAL,0.5,7.2,95.2,95.1,,,14.2,
Portage Park Elementary School,910,ES,5330 W BERTEAU AVE,60641,41.956988,-87.761007,69,49,STRONG,0.6,9.2,94.9,94.9,,,15.6,
William C. Goudy Technology Academy,701,ES,5120 N WINTHROP AVE,60640,41.975817,-87.657912,83,86,NEUTRAL,1.4,30.3,95.4,95.7,,,13.9,
James B McPherson Elementary School,682,ES,4728 N WOLCOTT AVE,60640,41.967847,-87.676288,51,50,NEUTRAL,1.1,16,95.6,94.5,,,16.3,
John T McCutcheon Elementary School,374,ES,4865 N SHERIDAN RD,60640,41.970949,-87.654758,45,58,VERY STRONG,6.8,25.2,95,95,,,41.6,
Joseph Lovett Elementary School,342,ES,6333 W BLOOMINGDALE AVE,60639,41.912718,-87.783919,49,46,WEAK,0.8,3.3,96,96.4,,,20.2,
Dr Jorge Prieto Math and Science,953,ES,2231 N CENTRAL AVE,60639,41.921318,-87.765781,51,47,VERY WEAK,1.9,36.5,94.9,95.2,,,24.2,
Hanson Park Elementary School,1471,ES,5411 W FULLERTON AVE,60639,41.923955,-87.761515,60,74,WEAK,0.5,5.2,95.6,93.4,,,16.5,
Northwest Middle School,541,MS,5252 W PALMER ST,60639,41.920555,-87.757854,41,33,VERY WEAK,7.4,26.2,93.9,94.7,,,25.6,
Henry D Lloyd Elementary School,985,ES,2103 N LAMON AVE,60639,41.918814,-87.748515,45,43,NOT ENOUGH DATA,0.4,15.2,94.7,96.1,,,23.3,
Kelvyn Park High School,408,HS,4343 W WRIGHTWOOD AVE,60639,41.927918,-87.735999,23,11,WEAK,30.3,62,84.6,93,58.2,31.7,72.9,859
William P Nixon Elementary School,743,ES,2121 N KEELER AVE,60639,41.919581,-87.73142,21,22,WEAK,0.8,6,95.3,95.1,,,17.6,
Franz Peter Schubert Elementary School,665,ES,2727 N LONG AVE,60639,41.930403,-87.76119,45,46,NOT ENOUGH DATA,0.4,4.5,94.8,94.9,,,4.7,
North-Grand High School,993,HS,4338 W WABANSIA AVE,60639,41.911674,-87.735238,,,WEAK,18.2,14.3,88.5,94.8,68.6,51.5,45,903
Luther Burbank Elementary School,887,ES,2035 N MOBILE AVE,60639,41.917598,-87.7827,65,53,NEUTRAL,0,0,96,94.2,,,16.9,
Michael M Byrne Elementary School,687,ES,5329 S OAK PARK AVE,60638,41.795031,-87.791544,65,59,WEAK,1.1,36.8,94.2,94.5,,,15.4,
John H Kinzie Elementary School,687,ES,5625 S MOBILE AVE,60638,41.789965,-87.779483,80,78,STRONG,0.4,14.3,95.4,95.2,,,8.1,
Nathan Hale Elementary School,900,ES,6140 S MELVINA AVE,60638,41.780192,-87.776579,74,66,STRONG,2.3,44,94.9,95.3,,,10.6,
John C Dore Elementary School,701,ES,7134 W 65TH ST,60638,41.77382587,-87.79974193,74,70,WEAK,1.1,13.3,94.3,95.1,,,18.2,
Mark Twain Elementary School,1086,ES,5134 S LOTUS AVE,60638,41.799046,-87.758928,79,80,WEAK,0.5,11.8,95.7,95.3,,,0,
Phoebe Apperson Hearst Elementary School,356,ES,4640 S LAMON AVE,60638,41.808175,-87.745726,20,24,WEAK,3.9,14.6,95.4,94.6,,,28.7,
John F Kennedy High School,1610,HS,6325 W 56TH ST,60638,41.789961,-87.78084,,,WEAK,4.9,33.3,87.9,94.7,79.5,65.8,39.5,972
Robert L Grimes Elementary School,442,ES,5450 W 64TH PL,60638,41.775464,-87.758803,80,86,NEUTRAL,0.9,28.6,95.8,95.8,,,10.6,
William H Ray Elementary School,712,ES,5631 S KIMBARK AVE,60637,41.792348,-87.594752,66,67,WEAK,8.5,41.8,94.5,95.3,,,18.3,
Charles S Brownell Elementary School,183,ES,6741 S MICHIGAN AVE,60637,41.77162,-87.621746,10,7,WEAK,6.3,14.3,95.2,90.6,,,4,
Park Manor Elementary School,240,ES,7037 S RHODES AVE,60637,41.766477,-87.611546,49,38,NEUTRAL,5.6,38.3,95.8,96.4,,,24.7,
Emmett Louis Till Math and Science Academy,330,ES,6543 S CHAMPLAIN AVE,60637,41.775424,-87.609357,43,66,NEUTRAL,19,61,94.1,94.6,,,48.9,
James Wadsworth Elementary School,539,ES,6650 S ELLIS AVE,60637,41.773478,-87.601018,18,20,WEAK,1,85.7,95.9,95.2,,,33.4,
Bret Harte Elementary School,329,ES,1556 E 56TH ST,60637,41.793447,-87.586855,66,58,NEUTRAL,12,16.1,95.6,95.8,,,19.7,
John Foster Dulles Elementary School,706,ES,6311 S CALUMET AVE,60637,41.7799,-87.617214,5,12,WEAK,9.4,64.8,96,97.5,,,26.3,
Hyde Park Academy High School,798,HS,6220 S STONY ISLAND AVE,60637,41.782257,-87.586615,,,WEAK,21.1,16,86.3,93.7,57.3,57.6,82.7,832
John Fiske Elementary School,433,ES,6020 S LANGLEY AVE,60637,41.785183,-87.608633,54,44,STRONG,4.1,9.8,92.5,93.4,,,43.1,
William W Carter Elementary School,356,ES,5740 S MICHIGAN AVE,60637,41.789828,-87.622453,39,43,WEAK,5.5,44.2,96.5,98.2,,,23.2,
Claremont Academy Elementary School,458,ES,2300 W 64TH ST,60636,41.777511,-87.681061,11,9,NEUTRAL,12.8,38.1,94.5,93.8,,,42.7,
Charles W Earle Elementary School,352,ES,2040 W 62ND ST,60636,41.781225,-87.675547,33,41,VERY WEAK,5.5,32.9,93.2,94,,,44.3,
William Rainey Harper High School,87,HS,6520 S WOOD ST,60636,41.775124,-87.669089,,,WEAK,107.6,59.7,81,95.2,46.9,41.5,97.1,783
Luke O'Toole Elementary School,343,ES,6550 S SEELEY AVE,60636,41.774571,-87.674865,22,21,WEAK,0.3,100,95.2,93.4,,,29.9,
Charles R Henderson Elementary School,280,ES,5650 S WOLCOTT AVE,60636,41.790591,-87.671887,17,11,VERY WEAK,2.3,60,93.4,96.4,,,45.9,
Anna R. Langford Community Academy,238,ES,6010 S THROOP ST,60636,41.784681,-87.657169,9,6,VERY WEAK,1.3,20,93.1,94.2,,,62.6,
Daniel S Wentworth Elementary School,433,ES,1340 W 71ST ST,60636,41.765076,-87.658205,14,15,VERY WEAK,3.7,40,94.1,96,,,45.4,
Charles P Steinmetz College Preparatory HS,1233,HS,3030 N MOBILE AVE,60634,41.935634,-87.783515,,,WEAK,12.2,8.5,86.6,94.7,73,48.6,70.7,881
Josephine C Locke Elementary School,1240,ES,2828 N OAK PARK AVE,60634,41.931762,-87.795604,71,57,STRONG,1.4,17,94.9,93.6,,,15.1,
Arthur E Canty Elementary School,825,ES,3740 N PANAMA AVE,60634,41.948007,-87.829296,87,88,WEAK,0,0,95.2,95.2,,,12.2,
Marvin Camras Elementary School,946,ES,3000 N MANGO AVE,60634,41.934931,-87.770127,57,52,WEAK,0.9,40.9,95.8,94.5,,,16,
William E Dever Elementary School,741,ES,3436 N OSCEOLA AVE,60634,41.942552,-87.813132,79,76,WEAK,3.3,13.6,94.3,94.9,,,19.2,
Mary Lyon Elementary School,1347,ES,2941 N MCVICKER AVE,60634,41.934192,-87.777174,90,89,WEAK,5.2,35.8,95.1,93.6,,,15.1,
Peter A Reinberg Elementary School,746,ES,3425 N MAJOR AVE,60634,41.943019,-87.768983,68,62,WEAK,0.2,5.1,94.6,94.6,,,13.3,
Washington D Smyser Elementary School,866,ES,4310 N MELVINA AVE,60634,41.958868,-87.781975,79,76,WEAK,2.4,39.7,93.7,95.3,,,15.2,
Norman A Bridge Elementary School,1112,ES,3800 N NEW ENGLAND AVE,60634,41.949114,-87.798669,80,79,WEAK,0.3,9.1,95.1,94.6,,,3.3,
Virgil Grissom Elementary School,330,ES,12810 S ESCANABA AVE,60633,41.662481,-87.553307,83,79,WEAK,1.3,2,95.6,94,,,22.4,
Henry Clay Elementary School,592,ES,13231 S BURLEY AVE,60633,41.654558,-87.544614,49,46,WEAK,0.8,12.2,93.1,94.4,,,19.9,
Eric Solorio Academy High School,1195,HS,5400 S ST LOUIS AVE,60632,41.795201,-87.711059,,,WEAK,3.8,25,94.1,96.3,89.2,60.3,34.1,1000
Walter S Christopher Elementary School,375,ES,5042 S ARTESIAN AVE,60632,41.801659,-87.685607,35,35,NEUTRAL,0.3,25,84.7,94.3,,,21.4,
Thomas Kelly College Preparatory,#N/A,HS,4136 S CALIFORNIA AVE,60632,41.818729,-87.694639,,,VERY WEAK,0,0,89.1,93.8,72.2,54,38.3,923
Irene C. Hernandez Middle School for the Advancement of Science,1005,MS,3510 W 55TH ST,60632,41.793479,-87.71137,61,54,VERY WEAK,3.3,8.4,94.1,93.9,,,21.2,
James Shields Elementary School,689,ES,4250 S ROCKWELL ST,60632,41.815909,-87.689647,27,34,NOT ENOUGH DATA,1.1,23.3,95.5,93.9,,,15.5,
Nathan S Davis Elementary School,733,ES,3014 W 39TH PL,60632,41.821852,-87.700202,35,37,WEAK,1.9,13.5,94.3,94.7,,,6.4,
Talman Elementary School,389,ES,5450 S TALMAN AVE,60632,41.794048,-87.690261,70,84,NOT ENOUGH DATA,0.2,2.7,96.1,95.7,,,18.9,
Richard Edwards Elementary School,1461,ES,4815 S KARLOV AVE,60632,41.805542,-87.725856,57,55,STRONG,0.1,2.9,95.1,94.4,,,15.6,
Columbia Explorers Elementary Academy,985,ES,4520 S KEDZIE AVE,60632,41.811069,-87.704199,79,79,WEAK,0.8,5.3,96.5,96.8,,,9.7,
Brighton Park Elementary School,399,ES,3825 S WASHTENAW AVE,60632,41.8239,-87.692077,40,34,WEAK,2.9,41.2,94.7,95.2,,,15.7,
Florence Nightingale Elementary School,1243,ES,5250 S ROCKWELL ST,60632,41.797714,-87.689139,62,61,WEAK,1,23.1,95.3,94.9,,,10.7,
John C Burroughs Elementary School,445,ES,3542 S WASHTENAW AVE,60632,41.828868,-87.692457,79,79,NEUTRAL,0,0,95.4,94.5,,,22.9,
Sidney Sawyer Elementary School,1457,ES,5248 S SAWYER AVE,60632,41.797498,-87.705006,54,41,WEAK,1.1,9.9,95.1,93.9,,,17.7,
James Shields Middle School,592,MS,2611 W 48TH ST,60632,41.806491,-87.68978,54,49,VERY WEAK,3.5,11.1,95,94.1,,,24.1,
Norwood Park Elementary School,442,ES,5900 N NINA AVE,60631,41.988153,-87.802979,94,95,STRONG,0,0,96.2,96,,,7.4,
Edison Park Elementary School,545,ES,6220 N OLCOTT AVE,60631,41.994238,-87.813771,91,84,STRONG,0.2,100,95.7,95.8,,,8.1,
William J Onahan Elementary School,662,ES,6634 W RAVEN ST,60631,41.99379,-87.793108,83,84,STRONG,0.3,8.7,95,96.3,,,10.8,
Christian Ebinger Elementary School,864,ES,7350 W PRATT AVE,60631,42.004408,-87.81117,96,94,STRONG,0.4,6.1,95.4,95.6,,,7.9,
Frederick Stock Elementary School,229,ES,7507 W BIRCHWOOD AVE,60631,42.016892,-87.814195,,,NOT ENOUGH DATA,,,,93.4,,,,
William Howard Taft High School,3432,HS,6530 W BRYN MAWR AVE,60631,41.982961,-87.791547,99,99,WEAK,0.6,0.8,89.3,94.8,83,66.4,39.8,989
John Palmer Elementary School,758,ES,5051 N KENNETH AVE,60630,41.973289,-87.739213,81,84,NEUTRAL,4,27.7,94.7,94.8,,,13.4,
James B Farnsworth Elementary School,585,ES,5414 N LINDER AVE,60630,41.97979,-87.766072,79,84,WEAK,0.5,13,93.8,94.6,,,16.8,
Ernst Prussing Elementary School,727,ES,4650 N MENARD AVE,60630,41.965619,-87.772414,83,81,WEAK,1.6,20,94.9,94.4,,,12.9,
Robert J. Richardson Middle School,1127,MS,6018 S KARLOV,60629,41.783826,-87.725422,65,43,VERY WEAK,1.7,36.5,94.8,95.4,,,15,
Rachel Carson Elementary School,1003,ES,5516 S MAPLEWOOD AVE,60629,41.793272,-87.6878,66,62,VERY WEAK,3,10.8,96.2,96.4,,,11.1,
Enrico Tonti Elementary School,967,ES,5815 S HOMAN AVE,60629,41.787523,-87.708179,58,65,NOT ENOUGH DATA,0.2,10.5,95.3,96,,,19.6,
Socorro Sandoval Elementary School,891,ES,5534 S SAINT LOUIS AVE,60629,41.792346,-87.710987,54,65,NOT ENOUGH DATA,0,0,95.8,93.2,,,9.8,
Edward N Hurley Elementary School,852,ES,3849 W 69TH PL,60629,41.766785,-87.719541,51,55,WEAK,0,0,95.6,94.8,,,13.8,
Mariano Azuela Elementary School,889,ES,4707 W MARQUETTE RD,60629,41.771079,-87.73992,65,63,WEAK,0.5,6.7,94.8,94.6,,,15.9,
John F Eberhart Elementary School,1278,ES,3400 W 65TH PL,60629,41.77442,-87.707953,50,39,NEUTRAL,3.3,18.6,95,94.1,,,19.2,
Sor Juana Ines de la Cruz ES,92,ES,4120 W 57TH,60629,41.789597,-87.72638,,,NOT ENOUGH DATA,,,,,,,,
Fairfield Elementary Academy,562,ES,6201 S FAIRFIELD AVE,60629,41.780904,-87.692115,39,22,WEAK,16.8,13.6,93.9,94.9,,,17,
Gage Park High School,349,HS,5630 S ROCKWELL ST,60629,41.791013,-87.688954,,,VERY WEAK,9.5,8.6,91.5,95.9,58.5,47.4,60.7,811
Tarkington School of Excellence ES,949,ES,3330 W 71ST ST,60629,41.764407,-87.706445,69,75,WEAK,5.8,21.7,95.4,95.8,,,16.9,
Louis Pasteur Elementary School,624,ES,5825 S KOSTNER AVE,60629,41.786895,-87.732666,54,71,NOT ENOUGH DATA,0.1,2,94.7,94.4,,,11.1,
Gurdon S Hubbard High School,1706,HS,6200 S HAMLIN AVE,60629,41.780526,-87.718014,,,WEAK,9.8,34.8,89.8,95.3,83.1,57.4,49.1,905
Marquette Elementary School,1059,ES,6550 S RICHMOND ST,60629,41.773881,-87.69703,42,50,WEAK,5.3,70.5,95.7,96.9,,,24.1,
Ferdinand Peck Elementary School,936,ES,3826 W 58TH ST,60629,41.787899,-87.719216,65,62,NOT ENOUGH DATA,0.2,0.5,95.5,95.9,,,13.1,
Francis M McKay Elementary School,775,ES,6901 S FAIRFIELD AVE,60629,41.768143,-87.691787,17,15,WEAK,3.4,32.5,97.2,93.1,,,13.3,
Richard Henry Lee Elementary School,810,ES,6448 S TRIPP AVE,60629,41.775305,-87.728884,65,77,NEUTRAL,0.2,1.2,94.6,94.7,,,14.3,
Donald Morrill Math & Science Elementary School,599,ES,6011 S ROCKWELL ST,60629,41.784313,-87.688549,28,17,VERY WEAK,0,0,94.1,95.9,,,56.6,
John M Harlan Community Academy High School,327,HS,9652 S MICHIGAN AVE,60628,41.718372,-87.620623,,,WEAK,36.1,28.4,82.3,92.9,62.1,38.3,89.4,824
Ralph H Metcalfe Elementary Community Academy,357,ES,12339 S NORMAL AVE,60628,41.669444,-87.634306,9,8,WEAK,2.5,30.3,95.1,94.4,,,24.4,
George W Curtis Elementary School,510,ES,32 E 115TH ST,60628,41.685418,-87.621653,22,19,WEAK,4.5,45.5,94.3,95.9,,,46.3,
Ronald Brown Elementary Community Academy,355,ES,12607 S UNION AVE,60628,41.664873,-87.638958,39,28,NEUTRAL,11.1,29.1,95.4,94.5,,,33.4,
Frank I Bennett Elementary School,308,ES,10115 S PRAIRIE AVE,60628,41.710435,-87.61739,49,35,VERY WEAK,0,0,95.8,91.8,,,21.9,
Theophilus Schmid Elementary School,206,ES,9755 S GREENWOOD AVE,60628,41.716989,-87.596932,28,28,WEAK,5.4,57.9,94.8,95.1,,,35,
Fernwood Elementary School,270,ES,10041 S UNION AVE,60628,41.711184,-87.640414,75,80,VERY STRONG,0,0,95.3,97.5,,,25,
Langston Hughes Elementary School,471,ES,240 W 104TH ST,60628,41.705342,-87.629869,21,12,VERY WEAK,3.1,6.3,92.8,94.6,,,48.3,
George H Corliss High School,277,HS,821 E 103RD ST,60628,41.70666,-87.601216,,,WEAK,30.5,31.8,79,93.3,60.8,37.5,93,813
Alex Haley Elementary Academy,529,ES,11411 S EGGLESTON AVE,60628,41.68666,-87.633632,29,30,WEAK,1.9,16.2,95.7,94.4,,,2.5,
Dunne Technology Academy,201,ES,10845 S UNION AVE,60628,41.696496,-87.639974,51,18,VERY STRONG,3.1,50,94.9,92.5,,,3.5,
Countee Cullen Elementary School,201,ES,10650 S EBERHART AVE,60628,41.700335,-87.611244,79,56,WEAK,10.2,19.6,95,95.3,,,16.3,
Christian Fenger Academy High School,203,HS,11220 S WALLACE ST,60628,41.689951,-87.637572,,,NEUTRAL,57.7,15,86.3,93.9,54.3,40.6,82,834
Medgar Evers Elementary School,282,ES,9811 S LOWE AVE,60628,41.715665,-87.639305,51,43,WEAK,1.3,16.7,96.8,94.4,,,3,
Jesse Owens Elementary Community Academy,344,ES,12302 S STATE ST,60628,41.670618,-87.622546,12,9,STRONG,9.3,19.9,92.1,91.2,,,37.2,
Mildred I Lavizzo Elementary School,359,ES,138 W 109TH ST,60628,41.696262,-87.627148,41,37,WEAK,1.1,23.5,96.6,94.3,,,35.4,
Wendell Smith Elementary School,334,ES,744 E 103RD ST,60628,41.707558,-87.60466,41,50,NEUTRAL,6.6,7,96,95.1,,,12,
George M Pullman Elementary School,418,ES,11311 S FORRESTVILLE AVE,60628,41.688819,-87.609431,67,47,WEAK,6.5,17.4,96.1,96.3,,,40.8,
Stephen F Gale Elementary Community Academy,301,ES,1631 W JONQUIL TER,60626,42.021091,-87.671939,28,16,WEAK,5.8,44.7,91.9,92.6,,,38.7,
Roger C Sullivan High School,660,HS,6631 N BOSWORTH AVE,60626,42.002688,-87.669192,,,WEAK,6,12,86.5,95.5,58.8,58,84.6,862
New Field Elementary School,664,ES,1707 W MORSE AVE,60626,42.007703,-87.673168,50,52,NOT ENOUGH DATA,0.4,2,95.5,95.7,,,13.6,
