Zip,Studio,1BD,2BD,3BD,4BD
60136,$1,810,$1,950,$2,210,$2,820,$3,330
60137,$1,320,$1,420,$1,620,$2,060,$2,440
60138,$1,580,$1,710,$1,940,$2,470,$2,920
60139,$1,630,$1,760,$2,000,$2,550,$3,010
60140,$1,780,$1,910,$2,180,$2,780,$3,290
60141,$1,230,$1,320,$1,500,$1,910,$2,260
60142,$1,710,$1,840,$2,090,$2,660,$3,150
60143,$1,570,$1,690,$1,920,$2,440,$2,890
60144,$1,280,$1,380,$1,570,$2,000,$2,370
60147,$1,390,$1,490,$1,700,$2,160,$2,560
60148,$1,730,$1,860,$2,120,$2,700,$3,190
60151,$1,610,$1,750,$2,060,$2,690,$3,200
60152,$1,080,$1,160,$1,320,$1,680,$1,990
60153,$1,180,$1,270,$1,440,$1,830,$2,170
60154,$1,710,$1,840,$2,090,$2,660,$3,150
60155,$1,160,$1,250,$1,420,$1,810,$2,140
60156,$1,710,$1,840,$2,090,$2,660,$3,150
60157,$1,640,$1,760,$2,010,$2,550,$3,020
60159,$1,370,$1,480,$1,680,$2,140,$2,530
60160,$1,220,$1,320,$1,500,$1,910,$2,260
60161,$1,370,$1,480,$1,680,$2,140,$2,530
60162,$1,440,$1,550,$1,760,$2,240,$2,650
60163,$1,130,$1,220,$1,390,$1,770,$2,090
60164,$1,110,$1,200,$1,360,$1,730,$2,050
60165,$1,220,$1,320,$1,500,$1,910,$2,260
60168,$1,370,$1,480,$1,680,$2,140,$2,530
60169,$1,590,$1,710,$1,950,$2,480,$2,940
60171,$1,190,$1,280,$1,460,$1,860,$2,200
60172,$1,680,$1,810,$2,060,$2,620,$3,100
60173,$1,870,$2,010,$2,290,$2,920,$3,450
60174,$1,620,$1,750,$1,990,$2,530,$3,000
60175,$2,100,$2,260,$2,570,$3,270,$3,870
60176,$1,270,$1,370,$1,560,$1,990,$2,350
60177,$1,700,$1,830,$2,080,$2,650,$3,130
60178,$920,$1,030,$1,350,$1,900,$2,290
60180,$1,380,$1,490,$1,690,$2,150,$2,550
60181,$1,530,$1,650,$1,880,$2,390,$2,830
60183,$1,390,$1,490,$1,700,$2,160,$2,560
60184,$1,590,$1,710,$1,950,$2,480,$2,930
60185,$1,360,$1,460,$1,660,$2,110,$2,500
60186,$1,580,$1,710,$1,940,$2,470,$2,920
60187,$1,700,$1,830,$2,080,$2,650,$3,130
60188,$1,520,$1,640,$1,860,$2,370,$2,800
60189,$1,730,$1,860,$2,120,$2,700,$3,190
60190,$2,100,$2,260,$2,570,$3,270,$3,870
60191,$1,600,$1,720,$1,960,$2,500,$2,950
60192,$2,100,$2,260,$2,570,$3,270,$3,870
60193,$1,760,$1,900,$2,160,$2,750,$3,250
60194,$1,800,$1,940,$2,210,$2,810,$3,330
60195,$1,680,$1,810,$2,060,$2,620,$3,100
60196,$1,370,$1,480,$1,680,$2,140,$2,530
60199,$1,580,$1,710,$1,940,$2,470,$2,920
60201,$1,950,$2,100,$2,390,$3,040,$3,600
60202,$1,650,$1,780,$2,020,$2,570,$3,040
60203,$2,060,$2,220,$2,520,$3,210,$3,800
60204,$1,370,$1,480,$1,680,$2,140,$2,530
60208,$1,370,$1,480,$1,680,$2,140,$2,530
60301,$2,100,$2,260,$2,570,$3,270,$3,870
60302,$1,480,$1,590,$1,810,$2,300,$2,730
60303,$1,370,$1,480,$1,680,$2,140,$2,530
60304,$1,350,$1,450,$1,650,$2,100,$2,490
60305,$1,450,$1,560,$1,780,$2,270,$2,680
60401,$1,140,$1,230,$1,400,$1,780,$2,110
60402,$1,290,$1,390,$1,580,$2,010,$2,380
60403,$1,330,$1,430,$1,630,$2,080,$2,460
60404,$1,740,$1,870,$2,130,$2,710,$3,210
60406,$1,060,$1,140,$1,300,$1,650,$1,960
60407,$1,090,$1,190,$1,480,$1,920,$2,070
60408,$1,220,$1,310,$1,490,$1,900,$2,250
60409,$1,150,$1,240,$1,410,$1,790,$2,120
60410,$1,550,$1,680,$2,000,$2,570,$2,900
60411,$1,130,$1,220,$1,390,$1,770,$2,090
60412,$1,370,$1,480,$1,680,$2,140,$2,530
60415,$1,160,$1,250,$1,420,$1,810,$2,140
60416,$1,000,$1,110,$1,460,$1,910,$1,940
60417,$1,110,$1,200,$1,360,$1,730,$2,050
60418,$1,370,$1,480,$1,680,$2,140,$2,530
60419,$1,560,$1,680,$1,910,$2,430,$2,880
60421,$1,160,$1,250,$1,420,$1,810,$2,140
60422,$2,100,$2,260,$2,570,$3,270,$3,870
60423,$1,480,$1,590,$1,810,$2,300,$2,730
60425,$1,750,$1,880,$2,140,$2,720,$3,220
60426,$1,140,$1,230,$1,400,$1,780,$2,110
60428,$1,600,$1,720,$1,960,$2,500,$2,950
60429,$1,620,$1,740,$1,980,$2,520,$2,980
60430,$1,360,$1,470,$1,670,$2,130,$2,520
60431,$1,470,$1,600,$1,880,$2,440,$2,810
